% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 10 2024, 17:00
% Table:              Table 1 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
1                                                 1.531157541004463                                 -1.8729162682575863E7i                            1.531157541004463                                 5.836322998053212E14
1                                                 1.531873726268186                                 -1.8737923081134412E7i                            1.531873726268186                                 5.836322998053212E14
1                                                 1.5318978602613955                                -1.8738218288827218E7i                            1.5318978602613955                                5.836322998053212E14
1                                                 1.5323118715328068                                -1.8743282486499257E7i                            1.5323118715328068                                5.836322998053212E14
1                                                 1.5323418856058                                   -1.874364961949557E7i                             1.5323418856058                                   5.836322998053212E14
2                                                 1.5309196771987883                                -1.859352839351973E7i                             1.5309196771987883                                5.79495730670103E14
2                                                 1.5316460393951832                                -1.8602350303854935E7i                            1.5316460393951832                                5.79495730670103E14
2                                                 1.5316706597376717                                -1.860264932609884E7i                             1.5316706597376717                                5.79495730670103E14
2                                                 1.5320904511301574                                -1.8607747832109176E7i                            1.5320904511301574                                5.79495730670103E14
2                                                 1.5321210782444226                                -1.8608119808593106E7i                            1.5321210782444226                                5.79495730670103E14
3                                                 1.5306815692013833                                -1.8459800279417895E7i                            1.5306815692013833                                5.75417385796545E14
3                                                 1.5314181793464878                                -1.8468683692164227E7i                            1.5314181793464878                                5.75417385796545E14
3                                                 1.5314432921284746                                -1.8468986548714712E7i                            1.5314432921284746                                5.75417385796545E14
3                                                 1.5318689019101204                                -1.8474119341664094E7i                            1.5318689019101204                                5.75417385796545E14
3                                                 1.5319001499579399                                -1.847449618864094E7i                             1.5319001499579399                                5.75417385796545E14
4                                                 1.5304422177989034                                -1.8327926409837507E7i                            1.5304422177989034                                5.713960444726811E14
4                                                 1.5311891475719066                                -1.833687132376742E7i                             1.5311891475719066                                5.713960444726811E14
4                                                 1.5312147587237768                                -1.833717803205166E7i                             1.5312147587237768                                5.713960444726811E14
4                                                 1.531646225605253                                 -1.83423450962897E7i                              1.531646225605253                                 5.713960444726811E14
4                                                 1.5316781023365191                                -1.8342726838493384E7i                            1.5316781023365191                                5.713960444726811E14
5                                                 1.5302026242588023                                -1.81978800865941E7i                              1.5302026242588023                                5.67430519873817E14
5                                                 1.5309599447962385                                -1.8206886494052105E7i                            1.5309599447962385                                5.67430519873817E14
5                                                 1.5309860603381766                                -1.8207197072202377E7i                            1.5309860603381766                                5.67430519873817E14
5                                                 1.5314234226595604                                -1.8212398387997266E7i                            1.5314234226595604                                5.67430519873817E14
5                                                 1.531455935921873                                 -1.8212785050808717E7i                            1.531455935921873                                 5.67430519873817E14
6                                                 1.5299625247252229                                -1.806962040580621E7i                             1.5299625247252229                                5.635196578947368E14
6                                                 1.5307303073017708                                -1.807868830092665E7i                             1.5307303073017708                                5.635196578947368E14
6                                                 1.5307569332667248                                -1.8079002766851064E7i                            1.5307569332667248                                5.635196578947368E14
6                                                 1.5312002294303628                                -1.808423831561441E7i                             1.5312002294303628                                5.635196578947368E14
6                                                 1.5312333870980122                                -1.8084629924205E7i                               1.5312333870980122                                5.635196578947368E14
