% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 22:32
% Table:              Table 4 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
1                                                 1.495244064714718                                 -2.0535290793580323E7i                            1.495244064714718                                 6.552840612021858E14
1                                                 1.4954300129613518                                -2.0537844558151133E7i                            1.4954300129613518                                6.552840612021858E14
1                                                 1.4954742585184908                                -2.0538452215057194E7i                            1.4954742585184908                                6.552840612021858E14
1                                                 1.4983012612373459                                -2.0577277530787177E7i                            1.4983012612373459                                6.552840612021858E14
1                                                 1.4983174891527993                                -2.057750040073241E7i                             1.4983174891527993                                6.552840612021858E14
2                                                 1.4947100852430337                                -2.0196861174391773E7i                            1.4947100852430337                                6.447149634408601E14
2                                                 1.4949057498266338                                -2.019950503855696E7i                             1.4949057498266338                                6.447149634408601E14
2                                                 1.4949519063277639                                -2.0200128715653155E7i                            1.4949519063277639                                6.447149634408601E14
2                                                 1.4978656250789697                                -2.0239499543280747E7i                            1.4978656250789697                                6.447149634408601E14
2                                                 1.4978827077034025                                -2.0239730367570736E7i                            1.4978827077034025                                6.447149634408601E14
3                                                 1.4941217752912155                                -1.9868452879675858E7i                            1.4941217752912155                                6.344813925925925E14
3                                                 1.4943277148067695                                -1.987119141118548E7i                             1.4943277148067695                                6.344813925925925E14
3                                                 1.4943758078451819                                -1.987183094022745E7i                             1.4943758078451819                                6.344813925925925E14
3                                                 1.4973772210582343                                -1.991174297282221E7i                             1.4973772210582343                                6.344813925925925E14
3                                                 1.4973951938443875                                -1.9911981970379643E7i                            1.4973951938443875                                6.344813925925925E14
4                                                 1.493526574122941+1.8132316746522615E-16i         2.3735147118099424E-9-1.9550217138357345E7i       1.493526574122941                                 6.245676208333332E14
4                                                 1.4937431108608903                                -1.95530515976289E7i                              1.4937431108608903                                6.245676208333332E14
4                                                 1.493793186108059                                 -1.9553707081081532E7i                            1.493793186108059                                 6.245676208333332E14
4                                                 1.4968834055502365                                -1.9594157958987888E7i                            1.4968834055502365                                6.245676208333332E14
