% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 10:34
% Table:              Table 1 - Global Evaluation 2
% daddy (m)                                       Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
4.0000000000000003E-7                             1.4927402583117704-5.14933948416096E-15i          -8.088563547139962E-8-2.3447909146149937E7i       1.4927402583117704                                7.494811449999999E14
4.0000000000000003E-7                             1.493191718562033                                 -2.3455000667177998E7i                            1.493191718562033                                 7.494811449999999E14
4.0000000000000003E-7                             1.4932014135410283                                -2.345515295555194E7i                             1.4932014135410283                                7.494811449999999E14
4.0000000000000003E-7                             1.4934654735474444                                -2.345930080043326E7i                             1.4934654735474444                                7.494811449999999E14
4.0000000000000003E-7                             1.4934780405914803                                -2.3459498203099363E7i                            1.4934780405914803                                7.494811449999999E14
4.02E-7                                           1.4927251696411399-2.8365962662602816E-14i        -4.4335472593450434E-7-2.33310170486228E7i        1.4927251696411399                                7.457523830845771E14
4.02E-7                                           1.493181103180084                                 -2.3338143205122657E7i                            1.493181103180084                                 7.457523830845771E14
4.02E-7                                           1.4931909316804526                                -2.3338296822757255E7i                            1.4931909316804526                                7.457523830845771E14
4.02E-7                                           1.4934575778276058                                -2.3342464452493597E7i                            1.4934575778276058                                7.457523830845771E14
4.02E-7                                           1.4934703214946285                                -2.334266363364135E7i                             1.4934703214946285                                7.457523830845771E14
4.04E-7                                           1.4927100131244828-2.7739407784363622E-14i        -4.31415444110338E-7-2.3215281243424743E7i        1.4927100131244828                                7.420605396039604E14
4.04E-7                                           1.493170441610908                                 -2.3222442029318094E7i                            1.493170441610908                                 7.420605396039604E14
4.04E-7                                           1.4931804047185104                                -2.3222596979940128E7i                            1.4931804047185104                                7.420605396039604E14
4.04E-7                                           1.4934496491241398                                -2.3226784387102235E7i                            1.4934496491241398                                7.420605396039604E14
4.04E-7                                           1.4934625709237257                                -2.3226985352600504E7i                            1.4934625709237257                                7.420605396039604E14
4.06E-7                                           1.492694788826721-8.007223706854685E-15i          -1.239183998675109E-7-2.3100684643496525E7i       1.492694788826721                                 7.384050689655172E14
4.06E-7                                           1.4931597339152158                                -2.3107880052729715E7i                            1.4931597339152158                                7.384050689655172E14
4.06E-7                                           1.4931698327179543                                -2.310803634004249E7i                             1.4931698327179543                                7.384050689655172E14
4.06E-7                                           1.4934416874942968                                -2.3112243517225746E7i                            1.4934416874942968                                7.384050689655172E14
4.06E-7                                           1.4934547889400658                                -2.3112446272919238E7i                            1.4934547889400658                                7.384050689655172E14
4.0800000000000005E-7                             1.4926794968125836+2.541455664492457E-15i         3.9138325710753264E-8-2.2987210496816278E7i       1.4926794968125836                                7.347854362745098E14
4.0800000000000005E-7                             1.4931489801536395                                -2.299444052336159E7i                             1.4931489801536395                                7.347854362745098E14
4.0800000000000005E-7                             1.4931592157414306                                -2.2994598151044972E7i                            1.4931592157414306                                7.347854362745098E14
4.0800000000000005E-7                             1.4934336929952463                                -2.299882509086931E7i                             1.4934336929952463                                7.347854362745098E14
4.0800000000000005E-7                             1.4934469756048323                                -2.29990296425786E7i                              1.4934469756048323                                7.347854362745098E14
4.1000000000000004E-7                             1.4926641371468081-2.316503499995174E-14i         -3.550005062243844E-7-2.287484237823102E7i        1.4926641371468081                                7.312011170731706E14
4.1000000000000004E-7                             1.4931381803867312                                -2.2882107016084805E7i                            1.4931381803867312                                7.312011170731706E14
4.1000000000000004E-7                             1.493148553851478                                 -2.288226598779525E7i                             1.493148553851478                                 7.312011170731706E14
4.1000000000000004E-7                             1.493425665684077                                 -2.288651268290508E7i                             1.493425665684077                                 7.312011170731706E14
4.1000000000000004E-7                             1.4934391309791022                                -2.288671903642669E7i                             1.4934391309791022                                7.312011170731706E14
4.1200000000000004E-7                             1.492648709893849-1.709419230172396E-14i          -2.606941211366368E-7-2.2763564181518435E7i       1.492648709893849                                 7.276515970873786E14
4.1200000000000004E-7                             1.4931273346749658                                -2.2770863424703788E7i                            1.4931273346749658                                7.276515970873786E14
4.1200000000000004E-7                             1.4931378471105308                                -2.2771023744074382E7i                            1.4931378471105308                                7.276515970873786E14
4.1200000000000004E-7                             1.4934176056178046                                -2.2775290187138606E7i                            1.4934176056178046                                7.276515970873786E14
4.1200000000000004E-7                             1.4934312551238489                                -2.2775498348244984E7i                            1.4934312551238489                                7.276515970873786E14
4.1400000000000003E-7                             1.4926332151183148+4.0483042082747555E-14i        6.144020657107542E-7-2.2653360111689903E7i        1.4926332151183148                                7.241363719806762E14
4.1400000000000003E-7                             1.4931164430787378                                -2.266069395425258E7i                             1.4931164430787378                                7.241363719806762E14
4.1400000000000003E-7                             1.4931270955809153                                -2.2660855624893077E7i                            1.4931270955809153                                7.241363719806762E14
4.1400000000000003E-7                             1.4934095128533613                                -2.2665141808604978E7i                            1.4934095128533613                                7.241363719806762E14
4.1400000000000003E-7                             1.4934233480999335                                -2.266535178304455E7i                             1.4934233480999335                                7.241363719806762E14
