% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 22:06
% Table:              Table 4 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
1                                                 1.4982806662443797                                -2.057699468454192E7i                             1.4982806662443797                                6.552840612021858E14
1                                                 1.4988662343204566                                -2.05850367233003E7i                              1.4988662343204566                                6.552840612021858E14
1                                                 1.498881022043569                                 -2.058523981402071E7i                             1.498881022043569                                 6.552840612021858E14
1                                                 1.499222069303739                                 -2.0589923667865854E7i                            1.499222069303739                                 6.552840612021858E14
1                                                 1.4992411237683214                                -2.0590185356897328E7i                            1.4992411237683214                                6.552840612021858E14
2                                                 1.4978439794898588                                -2.023920706317867E7i                             1.4978439794898588                                6.447149634408601E14
2                                                 1.4984487978941137                                -2.0247379506428402E7i                            1.4984487978941137                                6.447149634408601E14
2                                                 1.4984642514253494                                -2.0247588318042174E7i                            1.4984642514253494                                6.447149634408601E14
2                                                 1.4988163618490993                                -2.0252346113829292E7i                            1.4988163618490993                                6.447149634408601E14
2                                                 1.498836295340677                                 -2.025261545968177E7i                             1.498836295340677                                 6.447149634408601E14
3                                                 1.4973544848581266                                -1.991144063259267E7i                             1.4973544848581266                                6.344813925925925E14
3                                                 1.4979788889902015                                -1.991974380056811E7i                             1.4979788889902015                                6.344813925925925E14
3                                                 1.4979950215642377                                -1.9919958327450972E7i                            1.4979950215642377                                6.344813925925925E14
3                                                 1.4983583836007113                                -1.99247902237658E7i                              1.4983583836007113                                6.344813925925925E14
3                                                 1.498379216470139                                 -1.992506725398611E7i                             1.498379216470139                                 6.344813925925925E14
4                                                 1.496859541254471                                 -1.9593845576086804E7i                            1.496859541254471                                 6.245676208333332E14
4                                                 1.4975038438312662                                -1.9602279477094926E7i                            1.4975038438312662                                6.245676208333332E14
4                                                 1.4975206734782776                                -1.9602499776659146E7i                            1.4975206734782776                                6.245676208333332E14
4                                                 1.497895460084033                                 -1.960740572185625E7i                             1.497895460084033                                 6.245676208333332E14
4                                                 1.497917217439689                                 -1.9607690524975795E7i                            1.497917217439689                                 6.245676208333332E14
5                                                 1.4963602181198166                                -1.928596622920712E7i                             1.4963602181198166                                6.149588882051282E14
