% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 21:12
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1                                                 1.478239584608583                                 1.478239584608583                                 314.4                                             2.954215406648824E7
1                                                 1.4793430067252717                                1.4793430067252717                                314.4                                             2.9564205611116726E7
1                                                 1.4793806813122545                                1.4793806813122545                                314.4                                             2.956495852591121E7
1                                                 1.4800167349480358                                1.4800167349480358                                314.4                                             2.9577669858159676E7
1                                                 1.4800650015330705                                1.4800650015330705                                314.4                                             2.9578634450710308E7
2                                                 1.4757013540448811                                1.4757013540448811                                318.8                                             2.908439481028801E7
2                                                 1.4768369445496443                                1.4768369445496443                                318.8                                             2.910677600719673E7
2                                                 1.4768762518441783                                1.4768762518441783                                318.8                                             2.9107550709252816E7
2                                                 1.4775304674393408                                1.4775304674393408                                318.8                                             2.9120444554344576E7
2                                                 1.47758083228475                                  1.47758083228475                                  318.8                                             2.9121437188148446E7
3                                                 1.4736675897488198                                1.4736675897488198                                323.19999999999993                                2.8648906397204638E7
3                                                 1.47483546630329                                  1.47483546630329                                  323.19999999999993                                2.8671610558119386E7
3                                                 1.4748764384470365                                1.4748764384470365                                323.19999999999993                                2.8672407079071093E7
3                                                 1.4755488636529501                                1.4755488636529501                                323.19999999999993                                2.868547939396581E7
3                                                 1.4756013683108222                                1.4756013683108222                                323.19999999999993                                2.8686500113318846E7
4                                                 1.472037735068168                                 1.472037735068168                                 327.6                                             2.8232862846746724E7
4                                                 1.4732380615948786                                1.4732380615948786                                327.6                                             2.825588444014247E7
4                                                 1.473280732734291                                 1.473280732734291                                 327.6                                             2.825670284879997E7
4                                                 1.4739714415173926                                1.4739714415173926                                327.6                                             2.826995025807202E7
4                                                 1.4740261301427762                                1.4740261301427762                                327.6                                             2.827099915540865E7
5                                                 1.4707305008762026+2.85370229332521E-16i          1.4707305008762026                                331.99999999999994                                2.783395263230792E7
5                                                 1.4719634805050565                                1.4719634805050565                                331.99999999999994                                2.785728708859728E7
5                                                 1.4720078865431647                                1.4720078865431647                                331.99999999999994                                2.785812748427858E7
5                                                 1.4727169751212337                                1.4727169751212337                                331.99999999999994                                2.7871547167818375E7
5                                                 1.472773894156165                                 1.472773894156165                                 331.99999999999994                                2.7872624375179756E7
6                                                 1.4696801525918348+2.721409460547008E-16i         1.4696801525918348                                336.4                                             2.7450275686737422E7
6                                                 1.4709460216101022                                1.4709460216101022                                336.4                                             2.7473919234943103E7
6                                                 1.47099220000044                                  1.47099220000044                                  336.4                                             2.747478174202895E7
6                                                 1.4717197833532283                                1.4717197833532283                                336.4                                             2.7488371340816073E7
6                                                 1.4717789812637745                                1.4717789812637745                                336.4                                             2.748947702286649E7
7                                                 1.4688335307653755+2.9850064805337163E-16i        1.4688335307653755                                340.8                                             2.7080261910791434E7
