% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 16:29
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1                                                 1.4570140109993268-2.603452087488139E-9i          1.4570140109993268                                314.4                                             2.9117967640794422E7
1                                                 1.4661779334561678                                1.4661779334561678                                314.4                                             2.9301105754461583E7
1                                                 1.466790268626544-5.9083640696429494E-15i         1.466790268626544                                 314.4                                             2.931334308062436E7
1                                                 1.4731850701457256                                1.4731850701457256                                314.4                                             2.94411411816029E7
1                                                 1.4739071281248992                                1.4739071281248992                                314.4                                             2.945557128365657E7
2                                                 1.455284151668439-3.158737491354086E-9i           1.455284151668439                                 318.8                                             2.8681994979719084E7
2                                                 1.4646572420126855                                1.4646572420126855                                318.8                                             2.8866727926813927E7
2                                                 1.4652953751794464-7.013851965850477E-15i         1.4652953751794464                                318.8                                             2.8879304805538572E7
2                                                 1.4718552772854852                                1.4718552772854852                                318.8                                             2.9008593012970187E7
2                                                 1.4726065409936773                                1.4726065409936773                                318.8                                             2.9023399565959927E7
3                                                 1.4535951725044274-3.823368264624954E-9i          1.4535951725044274                                323.19999999999993                                2.825868759426669E7
3                                                 1.463177651323846-1.691778159002532E-16i          1.463177651323846                                 323.19999999999993                                2.844497623945397E7
3                                                 1.4638422655788899-8.306367379600654E-15i         1.4638422655788899                                323.19999999999993                                2.8457896705178708E7
3                                                 1.4705687814753778                                1.4705687814753778                                323.19999999999993                                2.858866386436597E7
3                                                 1.471349957879647                                 1.471349957879647                                 323.19999999999993                                2.8603850362217516E7
4                                                 1.4519443294020555-4.616915902398268E-9i          1.4519443294020555                                327.6                                             2.7847482531568103E7
4                                                 1.4617363233094072-1.70312858756083E-16i          1.4617363233094072                                327.6                                             2.8035287514006026E7
4                                                 1.4624281100587515-9.858219001834325E-15i         1.4624281100587515                                327.6                                             2.8048555598069463E7
4                                                 1.4693227356662166                                1.4693227356662166                                327.6                                             2.818079067229208E7
4                                                 1.470134537457817                                 1.470134537457817                                 327.6                                             2.819636057793715E7
5                                                 1.4503299335115682-5.561981688838332E-9i          1.4503299335115682                                331.99999999999994                                2.7447866653019976E7
5                                                 1.4603314722587792-2.0538884020409782E-16i        1.4603314722587792                                331.99999999999994                                2.7637148343699686E7
5                                                 1.4610511308609369-1.1695341535441322E-14i        1.4610511308609369                                331.99999999999994                                2.765076806766132E7
5                                                 1.468115341986162                                 1.468115341986162                                 331.99999999999994                                2.7784460078350563E7
5                                                 1.4689584871877366                                1.4689584871877366                                331.99999999999994                                2.7800416817935962E7
6                                                 1.4487482191399101-6.684797165772367E-9i          1.4487482191399101                                336.4                                             2.7059314876047783E7
6                                                 1.45895923907653-2.145697365261118E-16i           1.45895923907653                                  336.4                                             2.7250033456419624E7
6                                                 1.4597074777719379-1.3849745958747865E-14i        1.4597074777719379                                336.4                                             2.726400884993107E7
6                                                 1.466942737745647                                 1.466942737745647                                 336.4                                             2.7399147016281944E7
6                                                 1.467817950431364                                 1.467817950431364                                 336.4                                             2.7415493994544588E7
7                                                 1.4471980299713043-8.015367574276498E-9i          1.4471980299713043                                340.8                                             2.6681377343001585E7
7                                                 1.4576183680048362-2.524764277614348E-16i         1.4576183680048362                                340.8                                             2.687349270341277E7
7                                                 1.4583959029008284-1.63332727021151E-14i          1.4583959029008284                                340.8                                             2.6887827785086237E7
7                                                 1.4658036544228406                                1.4658036544228406                                340.8                                             2.7024401363496874E7
7                                                 1.4667116637618633                                1.4667116637618633                                340.8                                             2.704114194723434E7
8                                                 1.4456770859242258-9.588137563074077E-9i          1.4456770859242258                                345.19999999999993                                2.631360667788325E7
8                                                 1.4563064810301836-2.955213156835173E-16i         1.4563064810301836                                345.19999999999993                                2.6507078459905148E7
8                                                 1.4571140366313444-1.925520606504331E-14i         1.4571140366313444                                345.19999999999993                                2.652177724752955E7
8                                                 1.4646957061352677                                1.4646957061352677                                345.19999999999993                                2.6659775609148737E7
8                                                 1.4656372467655128                                1.4656372467655128                                345.19999999999993                                2.667691313595658E7
9                                                 1.444182986961451-1.1442530202415848E-8i          1.444182986961451                                 349.6                                             2.5955575871152505E7
9                                                 1.45502107949912-3.5904290707905246E-16i          1.45502107949912                                  349.6                                             2.6150363467807353E7
9                                                 1.455859388845639-2.2701995999545125E-14i         1.455859388845639                                 349.6                                             2.616542998087634E7
9                                                 1.4636163875699642                                1.4636163875699642                                349.6                                             2.630484262507683E7
9                                                 1.4645921996251001                                1.4645921996251001                                349.6                                             2.6322380405303944E7
