% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 15:11
% Table:              Table 1 - Eval_German
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1                                                 1.4545277293914751-2.684317934790687E-9i          1.4545277293914751                                314.4                                             2.906828008332634E7
1                                                 1.4636972391515684                                1.4636972391515684                                314.4                                             2.92515298574951E7
1                                                 1.4643104834618077-6.046055852680652E-15i         1.4643104834618077                                314.4                                             2.9263785352532655E7
1                                                 1.4707130650835876                                1.4707130650835876                                314.4                                             2.9391738936419375E7
1                                                 1.4714359344202927                                1.4714359344202927                                314.4                                             2.9406185253198627E7
2                                                 1.4513732228859186-3.3155222609069364E-9i         1.4513732228859186                                318.8                                             2.8604915022806417E7
2                                                 1.4607548579806406                                1.4607548579806406                                318.8                                             2.8789816377211932E7
2                                                 1.4613944688991845-7.319764935150642E-15i         1.4613944688991845                                318.8                                             2.8802422380743004E7
2                                                 1.4679668660026606                                1.4679668660026606                                318.8                                             2.8931956850358784E7
2                                                 1.4687194332182585                                1.4687194332182585                                318.8                                             2.8946789093996517E7
3                                                 1.448722450108407-4.062644494190393E-9i           1.448722450108407                                 323.19999999999993                                2.816395919771768E7
3                                                 1.4583152421532999                                1.4583152421532999                                323.19999999999993                                2.835044833766601E7
3                                                 1.458981758752951-8.800122123132263E-15i          1.458981758752951                                 323.19999999999993                                2.8363405786013532E7
3                                                 1.4657241596985446                                1.4657241596985446                                323.19999999999993                                2.8494481759269927E7
3                                                 1.466506994947476                                 1.466506994947476                                 323.19999999999993                                2.850970050597175E7
4                                                 1.4464741869169708-4.944157626644335E-9i          1.4464741869169708                                327.6                                             2.774256824924068E7
4                                                 1.4562773509403626                                1.4562773509403626                                327.6                                             2.7930587468275014E7
4                                                 1.456971343902647-1.0506295393626107E-14i         1.456971343902647                                 327.6                                             2.79438978662723E7
4                                                 1.4638841554894002                                1.4638841554894002                                327.6                                             2.807648173743588E7
4                                                 1.4646978593247957                                1.4646978593247957                                327.6                                             2.8092088123220228E7
5                                                 1.444546615786637-5.9813861641298915E-9i          1.444546615786637                                 331.99999999999994                                2.7338415879056E7
5                                                 1.4545594957423778-2.602038177030566E-16i         1.4545594957423778                                331.99999999999994                                2.7527912205021255E7
5                                                 1.4552815635588765-1.2548938906991096E-14i        1.4552815635588765                                331.99999999999994                                2.7541577523983337E7
5                                                 1.46236537278671                                  1.46236537278671                                  331.99999999999994                                2.767564043380017E7
5                                                 1.4632105716886266                                1.4632105716886266                                331.99999999999994                                2.7691636040192235E7
6                                                 1.4428735885458492-7.198945810275694E-9i          1.4428735885458492                                336.4                                             2.694959016548384E7
6                                                 1.4530956129506387-2.881004329101083E-16i         1.4530956129506387                                336.4                                             2.714051428424069E7
6                                                 1.453846378796857-1.4819406473501916E-14i         1.453846378796857                                 336.4                                             2.7154536879169617E7
6                                                 1.4611019206697644                                1.4611019206697644                                336.4                                             2.7290053865172822E7
6                                                 1.4619792634250408                                1.4619792634250408                                336.4                                             2.7306440628280174E7
7                                                 1.441401626965497-8.625075984638735E-9i           1.441401626965497                                 340.8                                             2.6574511514948238E7
7                                                 1.451832272735191-2.823165927450679E-16i          1.451832272735191                                 340.8                                             2.676681691472681E7
7                                                 1.4526123818873837-1.750396937427559E-14i         1.4526123818873837                                340.8                                             2.678119945687192E7
7                                                 1.460040512351579                                 1.460040512351579                                 340.8                                             2.6918148753211252E7
7                                                 1.46095066710528                                  1.46095066710528                                  340.8                                             2.693492889105079E7
8                                                 1.4400875107204223-1.0292072954708485E-8i         1.4400875107204223                                345.19999999999993                                2.6211867579407252E7
8                                                 1.4507262736426014-3.463138763655718E-16i         1.4507262736426014                                345.19999999999993                                2.640550987048258E7
8                                                 1.4515363913340211-2.0624375880613E-14i           1.4515363913340211                                345.19999999999993                                2.642025529219699E7
8                                                 1.459138064557943                                 1.459138064557943                                 345.19999999999993                                2.655861775311972E7
8                                                 1.4600817163960065                                1.4600817163960065                                345.19999999999993                                2.6575793707244903E7
9                                                 1.4388963340155108-1.2236836863379689E-8i         1.4388963340155108                                349.6                                             2.586056151155843E7
9                                                 1.4497427046006648-2.8434149023678595E-16i        1.4497427046006648                                349.6                                             2.6055497885405295E7
9                                                 1.4505835142352475-2.4190288113450518E-14i        1.4505835142352475                                349.6                                             2.6070609334896553E7
9                                                 1.458359763547894                                 1.458359763547894                                 349.6                                             2.6210367960257497E7
9                                                 1.4593376125024604                                1.4593376125024604                                349.6                                             2.622794234865559E7
10                                                1.4377999370103438-1.4501070846499521E-8i         1.4377999370103438                                354                                               2.5519670731319565E7
10                                                1.4488533807094686-3.8500502129682597E-16i        1.4488533807094686                                354                                               2.5715859530879106E7
10                                                1.4497255823667752-2.83320239023889E-14i          1.4497255823667752                                354                                               2.57313403349415E7
10                                                1.4576775042704933                                1.4576775042704933                                354                                               2.5872479879769977E7
10                                                1.4586902636623382                                1.4586902636623382                                354                                               2.589045545866983E7
11                                                1.4367756376227157-1.7132265686305874E-8i         1.4367756376227157                                358.3999999999999                                 2.5188413995604433E7
11                                                1.448035578599149-5.169093904787066E-16i          1.448035578599149                                 358.3999999999999                                 2.5385814374239575E7
11                                                1.4489398877773298-3.3153438698189456E-14i        1.4489398877773298                                358.3999999999999                                 2.5401668007446866E7
11                                                1.4570686285401564                                1.4570686285401564                                358.3999999999999                                 2.5544174660702627E7
11                                                1.4581170235909748                                1.4581170235909748                                358.3999999999999                                 2.556255429345771E7
12                                                1.4358052045516947-2.0183850634365195E-8i         1.4358052045516947                                362.8                                             2.4866125041927196E7
12                                                1.44727101236381-4.975560726031012E-16i           1.44727101236381                                  362.8                                             2.5064696693470825E7
12                                                1.448208158919488-3.870663104389636E-14i          1.448208158919488                                 362.8                                             2.5080926752647534E7
12                                                1.4565149033308489                                1.4565149033308489                                362.8                                             2.5224787872923054E7
12                                                1.457599669994725                                 1.457599669994725                                 362.8                                             2.5243574504577365E7
13                                                1.4348740244180094-2.3715759334146442E-8i         1.4348740244180094                                367.2                                             2.4552231448466446E7
13                                                1.4465450030952718-5.654089620169445E-16i         1.4465450030952718                                367.2                                             2.4751934394396134E7
13                                                1.4475157303464699-4.5086158788580416E-14i        1.4475157303464699                                367.2                                             2.476854457740813E7
13                                                1.4560016922859904                                1.4560016922859904                                367.2                                             2.4913748475490052E7
13                                                1.4571235762591623                                1.4571235762591623                                367.2                                             2.4932945111918684E7
14                                                1.4339704254162158-2.7795101710909426E-8i         1.4339704254162158                                371.6                                             2.4246237642371435E7
