% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 9 2024, 11:35
% Table:              Table 4 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
1                                                 1.4989707492657895                                -2.058647210421592E7i                             1.4989707492657895                                6.552840612021858E14
1                                                 1.4991684068235098                                -2.058918668140176E7i                             1.4991684068235098                                6.552840612021858E14
1                                                 1.4991876451222759                                -2.058945089516382E7i                             1.4991876451222759                                6.552840612021858E14
1                                                 1.4992976002804104                                -2.059096099053877E7i                             1.4992976002804104                                6.552840612021858E14
1                                                 1.4993177678335299                                -2.0591237966437E7i                               1.4993177678335299                                6.552840612021858E14
2                                                 1.4985569272269                                   -2.024884057446074E7i                             1.4985569272269                                   6.447149634408601E14
2                                                 1.4987609049330788                                -2.025159676742086E7i                             1.4987609049330788                                6.447149634408601E14
2                                                 1.4987810311774872                                -2.0251868717793237E7i                            1.4987810311774872                                6.447149634408601E14
2                                                 1.4988943756743944                                -2.025340025430424E7i                             1.4988943756743944                                6.447149634408601E14
2                                                 1.4989154777537095                                -2.0253685390378874E7i                            1.4989154777537095                                6.447149634408601E14
3                                                 1.4980906958943285                                -1.9921230580456477E7i                            1.4980906958943285                                6.344813925925925E14
3                                                 1.4983011000369704                                -1.992402848144614E7i                             1.4983011000369704                                6.344813925925925E14
3                                                 1.4983221348636444                                -1.9924308197242748E7i                            1.4983221348636444                                6.344813925925925E14
3                                                 1.4984389226026908                                -1.9925861211012136E7i                            1.4984389226026908                                6.344813925925925E14
3                                                 1.498460981408371                                 -1.9926154543422174E7i                            1.498460981408371                                 6.344813925925925E14
4                                                 1.4976193937529034                                -1.9603792022032168E7i                            1.4976193937529034                                6.245676208333332E14
4                                                 1.4978363193191777                                -1.9606631571054596E7i                            1.4978363193191777                                6.245676208333332E14
4                                                 1.4978582881211895                                -1.9606919142000467E7i                            1.4978582881211895                                6.245676208333332E14
4                                                 1.497978564330845                                 -1.9608493553903196E7i                            1.497978564330845                                 6.245676208333332E14
4                                                 1.4980016068109019                                -1.960879517926181E7i                             1.4980016068109019                                6.245676208333332E14
5                                                 1.4971440900245283                                -1.929606922907255E7i                             1.4971440900245283                                6.149588882051282E14
5                                                 1.4973676317991187                                -1.9298950366290286E7i                            1.4973676317991187                                6.149588882051282E14
5                                                 1.4973905601413882                                -1.9299245880184162E7i                            1.4973905601413882                                6.149588882051282E14
5                                                 1.4975143698341458                                -1.930084161196349E7i                             1.4975143698341458                                6.149588882051282E14
5                                                 1.4975384231325284                                -1.930115162495013E7i                             1.4975384231325284                                6.149588882051282E14
6                                                 1.496666786821476                                 -1.8997645989293694E7i                            1.496666786821476                                 6.056413292929292E14
6                                                 1.4968970392574001                                -1.900056865337923E7i                             1.4968970392574001                                6.056413292929292E14
6                                                 1.496920952831893                                 -1.9000872195641648E7i                            1.496920952831893                                 6.056413292929292E14
6                                                 1.4970483407457078                                -1.9002489169113148E7i                            1.4970483407457078                                6.056413292929292E14
6                                                 1.497073432156494                                 -1.9002807662009288E7i                            1.497073432156494                                 6.056413292929292E14
7                                                 1.496188689132015                                 -1.870812097178619E7i                             1.496188689132015                                 5.966019064676616E14
7                                                 1.4964257462646322                                -1.8711085098935686E7i                            1.4964257462646322                                5.966019064676616E14
7                                                 1.4964506710740286                                -1.8711396755047496E7i                            1.4964506710740286                                5.966019064676616E14
7                                                 1.496581681546731                                 -1.871303489052445E7i                             1.496581681546731                                 5.966019064676616E14
7                                                 1.4966078386982757                                -1.8713361955659304E7i                            1.4966078386982757                                5.966019064676616E14
8                                                 1.495711385010312                                 -1.8427121172702003E7i                            1.495711385010312                                 5.878283490196079E14
8                                                 1.4959553407202908                                -1.8430126700020712E7i                            1.4959553407202908                                5.878283490196079E14
8                                                 1.4959813027222273                                -1.8430446551136617E7i                            1.4959813027222273                                5.878283490196079E14
8                                                 1.4961159799922674                                -1.8432105771223534E7i                            1.4961159799922674                                5.878283490196079E14
8                                                 1.496143230490791                                 -1.843244149658027E7i                             1.496143230490791                                 5.878283490196079E14
9                                                 1.495236407226742+1.8237889670758197E-16i         2.214338945183966E-9-1.8154294540380787E7i        1.495236407226742                                 5.79309097584541E14
9                                                 1.4954873548338221                                -1.815734140089804E7i                             1.4954873548338221                                5.79309097584541E14
9                                                 1.495514380325402                                 -1.8157669528765894E7i                            1.495514380325402                                 5.79309097584541E14
9                                                 1.495652768134436                                 -1.8159349753400512E7i                            1.495652768134436                                 5.79309097584541E14
9                                                 1.4956811399483836                                -1.8159694227534875E7i                            1.4956811399483836                                5.79309097584541E14
10                                                1.4947641611947986                                -1.7889295648224335E7i                            1.4947641611947986                                5.710332533333332E14
10                                                1.495022193863325                                 -1.7892383775979873E7i                            1.495022193863325                                 5.710332533333332E14
10                                                1.4950503092517655                                -1.7892720260161884E7i                            1.4950503092517655                                5.710332533333332E14
10                                                1.4951924511787797                                -1.789442141076636E7i                             1.4951924511787797                                5.710332533333332E14
10                                                1.495221972410347                                 -1.7894774720039565E7i                            1.495221972410347                                 5.710332533333332E14
11                                                1.4942968813832394                                -1.7631820112059053E7i                            1.4942968813832394                                5.629905314553991E14
11                                                1.4945620916285844                                -1.763494943622218E7i                             1.4945620916285844                                5.629905314553991E14
11                                                1.4945913235644674                                -1.7635294355790332E7i                            1.4945913235644674                                5.629905314553991E14
11                                                1.4947372626785373                                -1.7637016351090364E7i                            1.4947372626785373                                5.629905314553991E14
11                                                1.494767961694786                                 -1.7637378581339825E7i                            1.494767961694786                                 5.629905314553991E14
12                                                1.4938333127269932                                -1.7381539855373427E7i                            1.4938333127269932                                5.551712185185185E14
12                                                1.4941057934822268                                -1.7384710312924862E7i                            1.4941057934822268                                5.551712185185185E14
12                                                1.4941361684289962                                -1.7385063741479024E7i                            1.4941361684289962                                5.551712185185185E14
12                                                1.4942859480977864                                -1.738680650706098E7i                             1.4942859480977864                                5.551712185185185E14
12                                                1.4943178531036734                                -1.738717773866138E7i                             1.4943178531036734                                5.551712185185185E14
13                                                1.4933745882699028                                -1.7138172184717473E7i                            1.4933745882699028                                5.475661333333333E14
13                                                1.4936544317544784                                -1.7141383707038194E7i                            1.4936544317544784                                5.475661333333333E14
13                                                1.4936859766635855                                -1.7141745720754027E7i                            1.4936859766635855                                5.475661333333333E14
13                                                1.4938396396071534                                -1.7143509177830342E7i                            1.4938396396071534                                5.475661333333333E14
13                                                1.493872779318107                                 -1.7143889493711527E7i                            1.493872779318107                                 5.475661333333333E14
14                                                1.492922336003231                                 -1.6901455290695E7i                               1.492922336003231                                 5.4016659099099094E14
14                                                1.4932096337099685                                -1.690470780372159E7i                             1.4932096337099685                                5.4016659099099094E14
14                                                1.4932423759030482                                -1.690507847987742E7i                             1.4932423759030482                                5.4016659099099094E14
14                                                1.4933999642341016                                -1.6906862545978785E7i                            1.4933999642341016                                5.4016659099099094E14
14                                                1.4934343677572839                                -1.690725203014342E7i                             1.4934343677572839                                5.4016659099099094E14
15                                                1.492474827315388                                 -1.6671103833463885E7i                            1.492474827315388                                 5.3296436977777775E14
15                                                1.4927696715753531                                -1.6674397275458764E7i                            1.4927696715753531                                5.3296436977777775E14
15                                                1.49280363785413                                  -1.667477668243432E7i                             1.49280363785413                                  5.3296436977777775E14
15                                                1.4929651943689983                                -1.667658128602632E7i                             1.4929651943689983                                5.3296436977777775E14
15                                                1.493000890317017                                 -1.6676980013592752E7i                            1.493000890317017                                 5.3296436977777775E14
16                                                1.4920343971655843                                -1.6446892284346227E7i                            1.4920343971655843                                5.259516807017543E14
16                                                1.4923368793280443                                -1.645022658518632E7i                             1.4923368793280443                                5.259516807017543E14
16                                                1.492372096942215                                 -1.64506147936002E7i                              1.492372096942215                                 5.259516807017543E14
16                                                1.4925376636469005                                -1.6452439857260266E7i                            1.4925376636469005                                5.259516807017543E14
16                                                1.492574681100665                                 -1.645284790554378E7i                             1.492574681100665                                 5.259516807017543E14
17                                                1.491599223232423                                 -1.6228561599332368E7i                            1.491599223232423                                 5.191211393939393E14
17                                                1.4919094347645245                                -1.6231936692909196E7i                            1.4919094347645245                                5.191211393939393E14
17                                                1.491945931192277                                 -1.6232333773114596E7i                            1.491945931192277                                 5.191211393939393E14
17                                                1.492115550044477                                 -1.6234179221911069E7i                            1.492115550044477                                 5.191211393939393E14
17                                                1.49215391833902                                  -1.6234596667979527E7i                            1.49215391833902                                  5.191211393939393E14
18                                                1.4911714956593374                                -1.601590911455001E7i                             1.4911714956593374                                5.124657401709402E14
18                                                1.4914895274094488                                -1.6019324930651747E7i                            1.4914895274094488                                5.124657401709402E14
18                                                1.4915273302038539                                -1.6019730951100254E7i                            1.4915273302038539                                5.124657401709402E14
18                                                1.491701042738307                                 -1.602159670844068E7i                             1.491701042738307                                 5.124657401709402E14
18                                                1.4917407913035357                                -1.6022023627416791E7i                            1.4917407913035357                                5.124657401709402E14
19                                                1.490750865001314                                 -1.5808715496441374E7i                            1.490750865001314                                 5.059788320675105E14
19                                                1.4910768075840437                                -1.5812171965043552E7i                            1.4910768075840437                                5.059788320675105E14
19                                                1.491115944537077                                 -1.5812586994120795E7i                            1.491115944537077                                 5.059788320675105E14
19                                                1.4912937920273905                                -1.5814472983552117E7i                            1.4912937920273905                                5.059788320675105E14
19                                                1.4913349505554936                                -1.5814909450487208E7i                            1.4913349505554936                                5.059788320675105E14
20                                                1.4903358527410997                                -1.5606760554509725E7i                            1.4903358527410997                                4.996540966666666E14
20                                                1.4906697975422851                                -1.5610257616290087E7i                            1.4906697975422851                                4.996540966666666E14
20                                                1.4907102959554188                                -1.5610681714680698E7i                            1.4907102959554188                                4.996540966666666E14
20                                                1.4908923203071782                                -1.5612587869234903E7i                            1.4908923203071782                                4.996540966666666E14
20                                                1.4909349180247764                                -1.5613033951490458E7i                            1.4909349180247764                                4.996540966666666E14
21                                                1.4899280824137582+1.8329122681394692E-16i        1.89572468025072E-9-1.5409867055434374E7i         1.4899280824137582                                4.9348552757201644E14
21                                                1.4902701195010903                                -1.5413404639634596E7i                            1.4902701195010903                                4.9348552757201644E14
21                                                1.490312007540646                                 -1.5413837874720493E7i                            1.490312007540646                                 4.9348552757201644E14
21                                                1.4904982495002417                                -1.5415764117920678E7i                            1.4904982495002417                                4.9348552757201644E14
21                                                1.4905423165193277                                -1.5416219889520435E7i                            1.4905423165193277                                4.9348552757201644E14
22                                                1.4895272345903736                                -1.5217846561011506E7i                            1.4895272345903736                                4.874674113821138E14
22                                                1.4898774543593294                                -1.5221424602810834E7i                            1.4898774543593294                                4.874674113821138E14
22                                                1.4899207598576716                                -1.5221867036096858E7i                            1.4899207598576716                                4.874674113821138E14
22                                                1.4901112604767803                                -1.5223813297383023E7i                            1.4901112604767803                                4.874674113821138E14
22                                                1.4901568265983882                                -1.5224278826465612E7i                            1.4901568265983882                                4.874674113821138E14
23                                                1.4891332381913858                                -1.5030522221103411E7i                            1.4891332381913858                                4.8159431004016056E14
23                                                1.4894917304749715                                -1.5034140652346725E7i                            1.4894917304749715                                4.8159431004016056E14
23                                                1.4895364817651857                                -1.5034592348168654E7i                            1.4895364817651857                                4.8159431004016056E14
23                                                1.4897312815328863                                -1.5036558553852603E7i                            1.4897312815328863                                4.8159431004016056E14
23                                                1.4897783770815998                                -1.5037033911378242E7i                            1.4897783770815998                                4.8159431004016056E14
24                                                1.4887458309690127+5.667149160511514E-16i         5.652023545860489E-9-1.4847723700427564E7i        1.4887458309690127                                4.7586104444444444E14
24                                                1.4891126860071757                                -1.4851382459452407E7i                            1.4891126860071757                                4.7586104444444444E14
24                                                1.4891589109974823                                -1.4851843475611009E7i                            1.4891589109974823                                4.7586104444444444E14
24                                                1.489358050792173                                 -1.4853829558519065E7i                            1.489358050792173                                 4.7586104444444444E14
24                                                1.4894067056905056                                -1.4854314808903707E7i                            1.4894067056905056                                4.7586104444444444E14
25                                                1.4883646854545143+3.690904823004246E-16i         3.637747286917419E-9-1.4669288036663167E7i        1.4883646854545143                                4.7026267921568625E14
25                                                1.4887399932769032                                -1.4672987061910702E7i                            1.4887399932769032                                4.7026267921568625E14
25                                                1.4887877200931834                                -1.4673457456311973E7i                            1.4887877200931834                                4.7026267921568625E14
25                                                1.4889912405548529                                -1.4675463349291537E7i                            1.4889912405548529                                4.7026267921568625E14
25                                                1.489041484966096                                 -1.4675958557050738E7i                            1.489041484966096                                 4.7026267921568625E14
26                                                1.487990591296339                                 -1.4495070729387006E7i                            1.487990591296339                                 4.6479450852713175E14
26                                                1.4883744412614226                                -1.4498809954907589E7i                            1.4883744412614226                                4.6479450852713175E14
26                                                1.4884236984002046                                -1.449928978704816E7i                             1.4884236984002046                                4.6479450852713175E14
26                                                1.4886316395949157                                -1.450131541969834E7i                             1.4886316395949157                                4.6479450852713175E14
26                                                1.488683504074012                                 -1.450182065091233E7i                             1.488683504074012                                 4.6479450852713175E14
27                                                1.487622370063073                                 -1.4324914970439805E7i                            1.487622370063073                                 4.594520429118774E14
27                                                1.4880148521437213                                -1.4328694338474225E7i                            1.4880148521437213                                4.594520429118774E14
27                                                1.488065667724162                                 -1.432918366216526E7i                             1.488065667724162                                 4.594520429118774E14
27                                                1.4882780702110177                                -1.4331228971260464E7i                            1.4882780702110177                                4.594520429118774E14
27                                                1.4883315849599432                                -1.4331744286331983E7i                            1.4883315849599432                                4.594520429118774E14
28                                                1.4872616599317956                                -1.4158697893356029E7i                            1.4872616599317956                                4.5423099696969694E14
28                                                1.4876628626350994                                -1.4162517334159967E7i                            1.4876628626350994                                4.5423099696969694E14
28                                                1.4877152656866852                                -1.4163016210044475E7i                            1.4877152656866852                                4.5423099696969694E14
28                                                1.4879321687600209                                -1.4165081122473968E7i                            1.4879321687600209                                4.5423099696969694E14
28                                                1.487987364910341                                 -1.4165606588596247E7i                            1.487987364910341                                 4.5423099696969694E14
29                                                1.4869061915578476                                -1.3996265372210672E7i                            1.4869061915578476                                4.491272779026217E14
29                                                1.4873162046793373                                -1.4000124830518829E7i                            1.4873162046793373                                4.491272779026217E14
29                                                1.4873702235059119                                -1.4000633310365187E7i                            1.4873702235059119                                4.491272779026217E14
29                                                1.4875916674945833                                -1.4002717765220594E7i                            1.4875916674945833                                4.491272779026217E14
29                                                1.4876485754787272                                -1.4003253440740945E7i                            1.4876485754787272                                4.491272779026217E14
30                                                1.4865569706359603                                -1.3837500616570758E7i                            1.4865569706359603                                4.441369748148148E14
30                                                1.4869758832395616                                -1.3841400032149928E7i                            1.4869758832395616                                4.441369748148148E14
30                                                1.4870315464963466                                -1.3841918169271678E7i                            1.4870315464963466                                4.441369748148148E14
30                                                1.4872575711275267                                -1.3844022102074184E7i                            1.4872575711275267                                4.441369748148148E14
30                                                1.4873162217494889                                -1.3844568046853695E7i                            1.4873162217494889                                4.441369748148148E14
31                                                1.486214519262831                                 -1.3682287517581234E7i                            1.486214519262831                                 4.392563487179487E14
31                                                1.4866424199989183                                -1.3686226828376714E7i                            1.4866424199989183                                4.392563487179487E14
31                                                1.4866997564951527                                -1.3686754675747711E7i                            1.4866997564951527                                4.392563487179487E14
31                                                1.4869304011633866                                -1.3688878021081962E7i                            1.4869304011633866                                4.392563487179487E14
31                                                1.4869908254020376                                -1.368943429461821E7i                             1.4869908254020376                                4.392563487179487E14
