% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 10 2024, 13:50
% Table:              Table 1 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
1                                                 1.527429169517148+2.2186249132285933E-16i         2.7138283173797175E-9-1.8683557136277083E7i       1.527429169517148                                 5.836322998053212E14
1                                                 1.5275324655774039-1.8825490451816613E-16i        -2.302739357702214E-9-1.8684820656630274E7i       1.5275324655774039                                5.836322998053212E14
1                                                 1.5276091126442974                                -1.868575820573711E7i                             1.5276091126442974                                5.836322998053212E14
1                                                 1.5311836840170503                                -1.8729482464650955E7i                            1.5311836840170503                                5.836322998053212E14
1                                                 1.531202161621611                                 -1.872970848323659E7i                             1.531202161621611                                 5.836322998053212E14
2                                                 1.527139511834454+2.583921192564883E-16i          3.138258184027118E-9-1.8547617028553437E7i        1.527139511834454                                 5.79495730670103E14
2                                                 1.5272451093471284-2.0371520223299392E-16i        -2.474188850875255E-9-1.8548899545447983E7i       1.5272451093471284                                5.79495730670103E14
2                                                 1.527323277071189                                 -1.85498489184415E7i                              1.527323277071189                                 5.79495730670103E14
2                                                 1.5309463967589685                                -1.8593852911460333E7i                            1.5309463967589685                                5.79495730670103E14
2                                                 1.53096528826924                                  -1.8594082355132565E7i                            1.53096528826924                                  5.79495730670103E14
3                                                 1.5268492756268552+2.9363550118862923E-16i        3.5412020474754485E-9-1.841358336832332E7i        1.5268492756268552                                5.75417385796545E14
3                                                 1.526957207243872-2.1928484930508932E-16i         -2.6445438449919897E-9-1.8414885008150995E7i      1.526957207243872                                 5.75417385796545E14
3                                                 1.5270369139458                                   -1.841584625954915E7i                             1.5270369139458                                   5.75417385796545E14
3                                                 1.5307088739315398                                -1.8460129570549056E7i                            1.5307088739315398                                5.75417385796545E14
3                                                 1.5307281855608728                                -1.8460362466030214E7i                            1.5307281855608728                                5.75417385796545E14
4                                                 1.526557460207867+3.134312847379336E-16i          3.753520031275361E-9-1.8281404201798204E7i        1.526557460207867                                 5.713960444726811E14
4                                                 1.5266677644780955-2.295594446466671E-16i         -2.749106473433757E-9-1.828272515892022E7i        1.5266677644780955                                5.713960444726811E14
4                                                 1.5267490277494231                                -1.8283698333365746E7i                            1.5267490277494231                                5.713960444726811E14
4                                                 1.5304701164788905                                -1.832826051258754E7i                             1.5304701164788905                                5.713960444726811E14
4                                                 1.5304898547064074                                -1.8328496889222465E7i                            1.5304898547064074                                5.713960444726811E14
5                                                 1.526265069342091+3.133053220470178E-16i          3.725972358637837E-9-1.815105285530282E7i         1.526265069342091                                 5.67430519873817E14
5                                                 1.5263777826864242-2.5363156512358508E-16i        -3.0163043345516817E-9-1.8152393294726867E7i      1.5263777826864242                                5.67430519873817E14
5                                                 1.5264606204553055                                -1.8153378439936295E7i                            1.5264606204553055                                5.67430519873817E14
5                                                 1.5302311256573193                                -1.8198219038458575E7i                            1.5302311256573193                                5.67430519873817E14
5                                                 1.5302512969175572                                -1.8198458924450915E7i                            1.5302512969175572                                5.67430519873817E14
6                                                 1.525971839077633+3.5131125828883576E-16i         4.149161158509747E-9-1.8022488418162394E7i        1.525971839077633                                 5.635196578947368E14
6                                                 1.5260869986853605-2.2831557743284007E-16i        -2.6965208299365485E-9-1.8023848510559488E7i      1.5260869986853605                                5.635196578947368E14
6                                                 1.5261714288763415                                -1.8024845673220117E7i                            1.5261714288763415                                5.635196578947368E14
6                                                 1.5299916377053393                                -1.806996424461996E7i                             1.5299916377053393                                5.635196578947368E14
6                                                 1.530012248503562                                 -1.807020766842553E7i                             1.530012248503562                                 5.635196578947368E14
7                                                 1.5256779862041712+3.6065874526158254E-16i        4.230402730180585E-9-1.7895676738777947E7i        1.5256779862041712                                5.5966233602986925E14
