% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 21:16
% Table:              Table 4 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
1                                                 1.4922783145324579                                -2.0494559956487555E7i                            1.4922783145324579                                6.552840612021858E14
1                                                 1.4928669221554327                                -2.0502643739587814E7i                            1.4928669221554327                                6.552840612021858E14
1                                                 1.4928809822017326                                -2.0502836836585257E7i                            1.4928809822017326                                6.552840612021858E14
1                                                 1.4932241244249784                                -2.0507549462105192E7i                            1.4932241244249784                                6.552840612021858E14
1                                                 1.493242469901681                                 -2.0507801414082617E7i                            1.493242469901681                                 6.552840612021858E14
2                                                 1.4922134681311077                                -2.016312631857391E7i                             1.4922134681311077                                6.447149634408601E14
2                                                 1.4928212432691985                                -2.0171338713880837E7i                            1.4928212432691985                                6.447149634408601E14
2                                                 1.4928359786224932                                -2.0171537821311627E7i                            1.4928359786224932                                6.447149634408601E14
2                                                 1.4931901308751263                                -2.0176323206753023E7i                            1.4931901308751263                                6.447149634408601E14
2                                                 1.4932093645311153                                -2.0176583096268535E7i                            1.4932093645311153                                6.447149634408601E14
3                                                 1.4921476008385128                                -1.9842200807898015E7i                            1.4921476008385128                                6.344813925925925E14
3                                                 1.4927748390864921                                -1.9850541663228817E7i                            1.4927748390864921                                6.344813925925925E14
3                                                 1.4927902733303706                                -1.985074690389414E7i                             1.4927902733303706                                6.344813925925925E14
3                                                 1.4931555963198118                                -1.9855604876464788E7i                            1.4931555963198118                                6.344813925925925E14
3                                                 1.493175748591511                                 -1.985587285626891E7i                             1.493175748591511                                 6.344813925925925E14
4                                                 1.492080722676505-2.953052949095671E-15i          -3.865537271058597E-8-1.9531290987181067E7i       1.492080722676505                                 6.245676208333332E14
4                                                 1.4927277197113347                                -1.9539760158562385E7i                            1.4927277197113347                                6.245676208333332E14
4                                                 1.4927438762445573                                -1.9539971647087716E7i                            1.4927438762445573                                6.245676208333332E14
4                                                 1.4931205306861026                                -1.9544902042198136E7i                            1.4931205306861026                                6.245676208333332E14
4                                                 1.4931416319292432                                -1.9545178256824937E7i                            1.4931416319292432                                6.245676208333332E14
5                                                 1.4920128379642212-1.1837004766982491E-15i        -1.5256224499060328E-8-1.922993464947715E7i       1.4920128379642212                                6.149588882051282E14
5                                                 1.4926798891777568                                -1.9238531995905917E7i                            1.4926798891777568                                6.149588882051282E14
5                                                 1.492696791591361                                 -1.9238749844104506E7i                            1.492696791591361                                 6.149588882051282E14
5                                                 1.4930849378364301                                -1.92437525000718E7i                              1.4930849378364301                                6.149588882051282E14
5                                                 1.493107018703475                                 -1.9244037091209E7i                               1.493107018703475                                 6.149588882051282E14
6                                                 1.4919439538076864-1.240588158624552E-15i         -1.574716220309245E-8-1.893769763575732E7i        1.4919439538076864                                6.056413292929292E14
6                                                 1.4926313545157528                                -1.894642302167463E7i                             1.4926313545157528                                6.056413292929292E14
6                                                 1.4926490263787466                                -1.8946647335997686E7i                            1.4926490263787466                                6.056413292929292E14
6                                                 1.4930488246264708                                -1.8951722096555132E7i                            1.4930488246264708                                6.056413292929292E14
6                                                 1.4930719158517787                                -1.8952015200489637E7i                            1.4930719158517787                                6.056413292929292E14
7                                                 1.4918740730313473-6.879262336600567E-16i         -8.601727370659221E-9-1.8654171653398458E7i       1.4918740730313473                                5.966019064676616E14
7                                                 1.4925821181888055                                -1.8663024944801763E7i                            1.4925821181888055                                5.966019064676616E14
7                                                 1.4926005833413591                                -1.8663255830324586E7i                            1.4926005833413591                                5.966019064676616E14
7                                                 1.4930121933499028                                -1.8668402540688705E7i                            1.4930121933499028                                5.966019064676616E14
7                                                 1.4930363260431512                                -1.866870429229794E7i                             1.4930363260431512                                5.966019064676616E14
8                                                 1.4918032048483134-3.571299091067804E-16i         -4.3998301914786345E-9-1.8378972505698707E7i      1.4918032048483134                                5.878283490196079E14
8                                                 1.4925321895217156                                -1.8387953575873375E7i                            1.4925321895217156                                5.878283490196079E14
8                                                 1.492551471589771                                 -1.838819113039631E7i                             1.492551471589771                                 5.878283490196079E14
8                                                 1.4929750531549908                                -1.8393409643076666E7i                            1.4929750531549908                                5.878283490196079E14
8                                                 1.493000258314837                                 -1.8393720169919822E7i                            1.493000258314837                                 5.878283490196079E14
9                                                 1.491731352788623                                 -1.811173819922822E7i                             1.491731352788623                                 5.79309097584541E14
9                                                 1.4924815717687454                                -1.812084692362063E7i                             1.4924815717687454                                5.79309097584541E14
9                                                 1.4925016945627134                                -1.812109124293155E7i                             1.4925016945627134                                5.79309097584541E14
