% Model:              HY_100_sweep_SiN_Nist.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 7 2024, 21:04
% Table:              Table 2 - Global Evaluation 1
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
1                                                 1.9505797402882348-6.105012599558326E-12i         -6.278056541029644E-5-2.00586807932262E7i         1.9505797402882348                                4.906586873977086E14
1                                                 1.9733552968553625-3.682664927699311E-15i         -3.787048472174449E-8-2.0292891991893E7i          1.9733552968553625                                4.906586873977086E14
1                                                 1.9803309249648056                                -2.036462548460266E7i                             1.9803309249648056                                4.906586873977086E14
1                                                 1.9896910462915594                                -2.046087978377398E7i                             1.9896910462915594                                4.906586873977086E14
1                                                 1.9979858031927378                                -2.054617846575125E7i                             1.9979858031927378                                4.906586873977086E14
2                                                 1.9458898651168883-3.2157818701929414E-12i        -3.2484490993393535E-5-1.9656570112366717E7i      1.9458898651168883                                4.819814437299035E14
2                                                 1.9694555484613558-2.3289513289404934E-15i        -2.3526097702789833E-8-1.989462084443039E7i       1.9694555484613558                                4.819814437299035E14
2                                                 1.9767671623506147-2.6301867557109154E-16i        -2.6569052698747854E-9-1.996847972700396E7i       1.9767671623506147                                4.819814437299035E14
2                                                 1.986381223892476                                 -2.0065596978164963E7i                            1.986381223892476                                 4.819814437299035E14
2                                                 1.9950827343121806                                -2.0153496017424382E7i                            1.9950827343121806                                4.819814437299035E14
3                                                 1.9412253852928012+5.389296450877678E-13i         5.349438906191109E-6-1.9268686917528845E7i        1.9412253852928012                                4.736057788309636E14
3                                                 1.965594524962777+5.0155761584255914E-15i         4.9784825316998275E-8-1.9510576049160756E7i       1.965594524962777                                 4.736057788309636E14
3                                                 1.9732507847301055                                -1.9586572413896978E7i                            1.9732507847301055                                4.736057788309636E14
3                                                 1.9831201422779963                                -1.968453608267456E7i                             1.9831201422779963                                4.736057788309636E14
3                                                 1.9922394030408075-3.4832624913041404E-16i        -3.4575013754205268E-9-1.9775054258404788E7i      1.9922394030408075                                4.736057788309636E14
4                                                 1.9365813818386368-6.589723469386881E-13i         -6.429262993979524E-6-1.889425416851873E7i        1.9365813818386368                                4.655162391304348E14
4                                                 1.9617674129803129                                -1.9139981654257156E7i                            1.9617674129803129                                4.655162391304348E14
4                                                 1.96977697191319                                  -1.921812690736902E7i                             1.96977697191319                                  4.655162391304348E14
4                                                 1.9799029863253854                                -1.931692135608796E7i                             1.9799029863253854                                4.655162391304348E14
4                                                 1.989451017461775                                 -1.9410076711598296E7i                            1.989451017461775                                 4.655162391304348E14
5                                                 1.9319531508250638-7.88116399789841E-13i          -7.560124249628703E-6-1.853254908614251E7i        1.9319531508250638                                4.576984091603053E14
5                                                 1.9579696209910424-3.7261851911736123E-16i        -3.5743987854980445E-9-1.8782115961091448E7i      1.9579696209910424                                4.576984091603053E14
5                                                 1.966341123238552-4.350312124396556E-16i          -4.17310186590132E-9-1.8862420846466366E7i        1.966341123238552                                 4.576984091603053E14
5                                                 1.9767251648355098                                -1.896203131607117E7i                             1.9767251648355098                                4.576984091603053E14
5                                                 1.986713007279975                                 -1.9057841186143674E7i                            1.986713007279975                                 4.576984091603053E14
6                                                 1.9273359650554076-9.135094660653812E-13i         -8.618242124852058E-6-1.818289642287526E7i        1.9273359650554076                                4.501388258258258E14
6                                                 1.9541965441962277-3.933200132239226E-16i         -3.710664456618965E-9-1.8436304825577866E7i       1.9541965441962277                                4.501388258258258E14
6                                                 1.9629386229477481                                -1.851877945135228E7i                             1.9629386229477481                                4.501388258258258E14
6                                                 1.973582077236274                                 -1.8619192057363246E7i                            1.973582077236274                                 4.501388258258258E14
6                                                 1.984020791336029                                 -1.871767310099302E7i                             1.984020791336029                                 4.501388258258258E14
7                                                 1.9227251615938112-1.0063980469530066E-12i        -9.340303429526385E-6-1.784466541369384E7i        1.9227251615938112                                4.428249010339734E14
7                                                 1.9504436570520798-1.1155375018855348E-15i        -1.0353218377333844E-8-1.8101918653576437E7i      1.9504436570520798                                4.428249010339734E14
7                                                 1.959564926572149                                 -1.8186572459531125E7i                            1.959564926572149                                 4.428249010339734E14
7                                                 1.970469205413515                                 -1.8287774238853812E7i                            1.970469205413515                                 4.428249010339734E14
7                                                 1.981369863332503                                 -1.838894241267239E7i                             1.981369863332503                                 4.428249010339734E14
8                                                 1.9181175958957555-8.826260133071397E-14i         -8.060614532770222E-7-1.751727949996343E7i        1.9181175958957555                                4.3574485174418606E14
8                                                 1.9467079389206825-1.2776736762137594E-15i        -1.166840184557619E-8-1.7778381859296925E7i       1.9467079389206825                                4.3574485174418606E14
8                                                 1.9562169900692177                                -1.7865223618688926E7i                            1.9562169900692177                                4.3574485174418606E14
8                                                 1.9673835268022168                                -1.796720242614948E7i                             1.9673835268022168                                4.3574485174418606E14
8                                                 1.9787572065149828                                -1.8071072974492237E7i                            1.9787572065149828                                4.3574485174418606E14
9                                                 1.9135101890162831-1.2997426996920201E-13i        -1.1683153410327367E-6-1.720019900538704E7i       1.9135101890162831                                4.288876366237482E14
9                                                 1.9429864395042875-9.325042106521528E-16i         -8.382112668458804E-9-1.7465155720661685E7i       1.9429864395042875                                4.288876366237482E14
9                                                 1.9528918391738177                                -1.755419357712139E7i                             1.9528918391738177                                4.288876366237482E14
9                                                 1.9643220910734687                                -1.7656938056081686E7i                            1.9643220910734687                                4.288876366237482E14
9                                                 1.9761798758811675                                -1.776352555147429E7i                             1.9761798758811675                                4.288876366237482E14
10                                                1.9088995558142832-1.0761512367988054E-12i        -9.523461463883651E-6-1.689291498869569E7i        1.9088995558142832                                4.2224289859154925E14
10                                                1.9392759202722503-5.725941246381373E-16i         -5.067204212540423E-9-1.7161732350453198E7i       1.9392759202722503                                4.2224289859154925E14
10                                                1.9495862043985515+2.3634439030166673E-16i        2.091543099405281E-9-1.7252973795150694E7i        1.9495862043985515                                4.2224289859154925E14
10                                                1.9612816648399833+2.945890535309449E-16i         2.606982553241652E-9-1.7356473436286334E7i        1.9612816648399833                                4.2224289859154925E14
10                                                1.9736346371121087                                -1.7465791765695088E7i                            1.9736346371121087                                4.2224289859154925E14
11                                                1.9042822964492336-9.74452682398059E-13i          -8.491909537566184E-6-1.6594949439350935E7i       1.9042822964492336                                4.158009126213592E14
11                                                1.9355731412864006                                -1.68676348436923E7i                              1.9355731412864006                                4.158009126213592E14
11                                                1.9462968080565326                                -1.6961086695965786E7i                            1.9462968080565326                                4.158009126213592E14
11                                                1.958259016171783-3.695215877380597E-16i          -3.2202116654111632E-9-1.70653318697122E7i        1.958259016171783                                 4.158009126213592E14
11                                                1.9711182510087149+2.717493320810613E-16i         2.3681711658357703E-9-1.717739422115323E7i        1.9711182510087149                                4.158009126213592E14
12                                                1.8996554061529078-5.033503771374224E-13i         -4.320551494526169E-6-1.6305856470825434E7i       1.8996554061529078                                4.095525382513661E14
12                                                1.9318752559623522                                -1.6582418338205535E7i                            1.9318752559623522                                4.095525382513661E14
12                                                1.9430207663808654                                -1.6678086790804742E7i                            1.9430207663808654                                4.095525382513661E14
12                                                1.9552513056092964                                -1.678306868203283E7i                             1.9552513056092964                                4.095525382513661E14
12                                                1.9686278712052059                                -1.6897887589700513E7i                            1.9686278712052059                                4.095525382513661E14
13                                                1.8950176168005495-2.75547889570689E-13i          -2.33017288179663E-6-1.602523128765503E7i         1.8950176168005495                                4.034891763122476E14
13                                                1.9281811305180525+2.43528963454991E-16i          2.0594045828439754E-9-1.6305678800608277E7i       1.9281811305180525                                4.034891763122476E14
13                                                1.9397569028110224                                -1.6403569409478325E7i                            1.9397569028110224                                4.034891763122476E14
13                                                1.9522573915722707                                -1.6509279890389817E7i                            1.9522573915722707                                4.034891763122476E14
13                                                1.9661623412382228-2.5489591743947416E-16i        -2.155529318056211E-9-1.6626867205918998E7i       1.9661623412382228                                4.034891763122476E14
14                                                1.8903665764353474-2.1068186511862797E-13i        -1.755640848013998E-6-1.5752683684671022E7i       1.8903665764353474                                3.976027294429708E14
14                                                1.9244885809350634                                -1.603702702329719E7i                             1.9244885809350634                                3.976027294429708E14
14                                                1.9365029812107362                                -1.6137144666913478E7i                            1.9365029812107362                                3.976027294429708E14
14                                                1.9492750939264214                                -1.624357643210822E7i                             1.9492750939264214                                3.976027294429708E14
14                                                1.963719458718568                                 -1.6363943302975008E7i                            1.963719458718568                                 3.976027294429708E14
15                                                1.8856997371326794-1.773874066098115E-13i         -1.456938492665959E-6-1.5487844290332625E7i       1.8856997371326794                                3.918855660130719E14
15                                                1.9207952344255073                                -1.5776094634043027E7i                            1.9207952344255073                                3.918855660130719E14
